,SparkID,Полное наименование,Краткое наименование,Наименование на англ.,ИНН,КПП,ОГРН,Дата регистрации,Генеральный директор,Юридический адрес,Сайт,EMAIL,Телефоны,ОКВЭД_Код,ОКВЭД_Наименование,"тип МСП: 1-ЮЛ, 2-ИП",категория МСП,ПП
6168,9934844.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МОНТАЖНО- СТРОИТЕЛЬНАЯ КОМПАНИЯ ""ПРИВОЛЬЕ""","ООО МСК  ""ПРИВОЛЬЕ""","OOO MSK ""PRIVOLE""",7718133056,771801001,1157746299182,2015-04-02,МАСАНОВИЧ АНДРЕЙ СЕРГЕЕВИЧ,"ГОРОД МОСКВА, ПРОЕЗД ИРТЫШСКИЙ 2-Й, ДОМ 4Б, СТРОЕНИЕ 5",,,,16.23,Производство прочих деревянных строительных конструкций и столярных изделий,1,1,нет
6183,7693998.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОФИ-ВУД""","ООО ""ПРОФИ-ВУД""",PROFY-WOOD,7701898498,773401001,1107746972145,2010-11-29,Федорова Ольга Андреевна,"123298, г. Москва, ул. Маршала Бирюзова, д. 1 корп. 1 ком. 3",,,,16.1,Распиловка и строгание древесины,1,1,нет
6546,8939156.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ФАНОПТТОРГ""","ООО ""ФАНОПТТОРГ""","OOO ""FANOPTTORG""",7708793945,770801001,1137746671171,2013-08-01,Капируля Владимир Викторович,"107140, г. Москва, ул. Краснопрудная, д. 12/1 стр. 1 пом. 15;17",,,,16.10,Распиловка и строгание древесины,1,1,нет
6610,1355820.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЛГОР-ПРОМ""","ООО ""АЛГОР-ПРОМ""","OOO ""ALGOR-PROM""",7705163007,772901001,1037739334698,1997-10-15,Гордиенко Александр Владимирович,"119602, г. Москва, ул. Академика Анохина, д. 38 корп. 2 кв. 171",,,+7 (495) 430 38 53;,16.10,Распиловка и строгание древесины,1,1,нет
6614,10694546.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛВР-МЕБЕЛЬ""","ООО ""ЛВР-МЕБЕЛЬ""","OOO ""LVR-MEBEL""",7716830100,771601001,1167746707094,2016-07-27,МОЖАЕВ АЛЕКСЕЙ СЕРГЕЕВИЧ,"ГОРОД МОСКВА, УЛИЦА ПАЛЕХСКАЯ, ДОМ 131, ПОМЕЩЕНИЕ I КОМНАТА 9",,,,16.23,Производство прочих деревянных строительных конструкций и столярных изделий,1,1,нет
6827,10835342.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОМПАНИЯ МЕРАН""","ООО ""КОМПАНИЯ МЕРАН""","OOO ""KOMPANIYA MERAN""",7720357790,772001001,5167746257861,2016-10-26,Мудров Роман Игоревич,"105118, г. Москва, ул. Буракова, д. 14 стр. 1 пом. 3 ком.Н 2",,,,16.29,"роизводство прочих деревянных изделий; производство изделий из пробки, соломки и материалов для плетения",1,1,нет
7282,9889214.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ТОРГОВО-ПРОИЗВОДСТВЕННАЯ КОМПАНИЯ ""СМОЛЕНСКИЙ ЛЕС""","ООО ТПК ""СМОЛЕНСКИЙ ЛЕС""","OOO TPK ""SMOLENSKI LES""",7728231542,772801001,1157746356030,2015-04-17,Леонченко Андрей Владимирович,"117133, г. Москва, ул. Академика Варги, д. 28 кв. 37",,,,16.10,Распиловка и строгание древесины,1,1,нет
7289,6379034.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ НПО ""АК ПРОМСТРОЙ""","ООО НПО ""АК ПРОМСТРОЙ""","OOO NPO ""AK PROMSTROI""",7721615589,500801001,1087746367862,2008-03-17,Тельнов Александр Владимирович,"141700, Московская обл, г. Долгопрудный, проезд Строителей, д. 14",,,+7 (499) 879 88 56;,16.10.9,Предоставление услуг по пропитке древесины,1,1,нет
7468,8087177.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТИЛ-ТРЕЙД""","ООО ""СТИЛ-ТРЕЙД""","OOO ""STIL-TREID""",7701934160,770101001,1117746785199,2011-10-05,Кривда Виктор Сергеевич,"105094, г. Москва, ул. Гольяновская, д. 3А корп. 3 пом. VI ком.1",,,,16.1,Распиловка и строгание древесины,1,1,нет
7523,9300306.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДЕЛЬФА КОМПАНИ""","ООО ""ДЕЛЬФА КОМПАНИ""","OOO ""DELFA KOMPANI""",7713788122,771301001,1147746480903,2014-04-30,САВЕЛЬЕВ РОМАН АЛЕКСЕЕВИЧ,"ГОРОД МОСКВА, УЛИЦА ИЖОРСКАЯ, ДОМ 8, СТРОЕНИЕ 2",,,+7 (495) 795 52 93; +7 (962) 922 75 74;,16.23.2,Производство сборных деревянных строений,1,1,да
7900,8055445.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НЬЮ ХОУМ ИНДАСТРИЗ""","ООО ""НХИ""","OOO ""NKHI""",7728782677,772801001,1117746706835,2011-09-07,Корсаненков Алексей Дмитриевич,"117593, г. Москва, проезд Соловьиный, д. 2 офис 1",2150444.ru,,+7 (495) 2155777; +7 (495) 2322435;,16.1,Распиловка и строгание древесины,1,2,нет
7955,8724446.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОИЗВОДСТВЕННО ТОРГОВАЯ КОМПАНИЯ ""ФОРТУНА""","ООО ""ПТК ""ФОРТУНА""","OOO ""PTK ""FORTUNA""",7718919996,772101001,1137746083573,2013-02-05,КАРАБЕКОВА САБИНА АЛАДДИН КЫЗЫ,"ГОРОД МОСКВА, ПРОСПЕКТ РЯЗАНСКИЙ, ДОМ 10, СТРОЕНИЕ 18, ЭТ 9/ПОМ 11/МЕСТ №4",,,,16.29.1,Производство прочих деревянных изделий,1,2,нет
28,2265281.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЛЕСТОН""","ООО ""АЛЕСТОН""","OOO ""ALESTON""",7706555913,770601001.0,1047796809730.0,2004-10-25,БЫЛЕВСКИЙ АНТОН ГЕННАДЬЕВИЧ,"ГОРОД МОСКВА, ПРОСПЕКТ ЛЕНИНСКИЙ, 4А, СТР.1",,,,16.23,Производство прочих деревянных строительных конструкций и столярных изделий,,,нет
54,4277633.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЛЬФА-ГАРАНТ""","ООО ""АЛЬФА-ГАРАНТ""","OOO ""ALFA-GARANT""",7701505524,770101001.0,1037739903783.0,2003-10-13,Виноградов Антон Сергеевич,"105064, г. Москва, туп. Басманный, 6А-стр.1",,,+7 (495) 772 82 76;,16.10.2,"Производство пиломатериалов, профилированных по кромке; производство древесного полотна, древесной муки; производство технологической щепы или стружки",,,нет
61,4669292.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НИКО""","ООО ""НИКО""",NIKO,7743557411,774301001.0,1057746738488.0,2005-04-21,Никитин Геннадий Валентинович,"125171, г. Москва, проезд Войковский 1-Й, д. 6 корп. 1 кв. 12",,,+7 (499) 150 60 59;,16.23,Производство прочих деревянных строительных конструкций и столярных изделий,,,нет
346,6328366.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТЕХНОДРЕВ""","ООО ""ТЕХНОДРЕВ""","OOO ""TEKHNODREV""",7705827106,770501001.0,1087746129899.0,2008-01-29,Фомкин Игорь Николаевич,"115093, г. Москва, ул. Люсиновская, д. 11/12 стр.1",,,+7 (495) 996 45 65;,16.10,Распиловка и строгание древесины,,,нет
391,9187927.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭЛИТ ЛЕС СТРОЙ""","ООО ""ЭЛИТ ЛЕС СТРОЙ""","OOO ""ELIT LES STROI""",7721821976,772101001.0,1147746120851.0,2014-02-13,ПОДГОРНЫЙ АЛЕКСАНДР ИВАНОВИЧ,"ГОРОД МОСКВА, ПРОСПЕКТ РЯЗАНСКИЙ, ДОМ 91, КОРПУС 1, ОФИС 11",,,+7 (499) 347 77 19;,16.10,Распиловка и строгание древесины,,,нет
686,6960628.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЗЕЛЕНЫЙ БОР""","ООО ""ЗЕЛЕНЫЙ БОР""",ZELENY BOR,7705884520,770501001.0,1097746165373.0,2009-03-25,Исаев Андрей Владимирович,"115093, г. Москва, ул. Серпуховская Б, д. 44 офис 19",,,,16.1,Распиловка и строгание древесины,,,нет
703,6214404.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СОБЕРИ МЕБЕЛЬ САМ""","ООО ""СМС""",SMS,7723639049,772301001.0,1077763456715.0,2007-12-05,КУЗНЕЦОВ ДМИТРИЙ АЛЕКСЕЕВИЧ,"ГОРОД МОСКВА, ПРОЕЗД УГРЕШСКИЙ 3-Й, 6, СТР.5",,,+7 (381) 251 25 05;,16.29.1,Производство прочих деревянных изделий,,,нет
792,8359269.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТНК-СТРОЙТЕХ""","ООО ""ТНК-СТРОЙТЕХ""","OOO ""TNK-STROITEKH""",7714872095,771401001.0,1127746346090.0,2012-05-02,Элбакян Эдгар Сергоевич,"125319, г. Москва, ул. Аэропортовская 1-Я, д. 6 пом. VI ком. 1-4",,,,16.23.1,Производство деревянных строительных конструкций и столярных изделий,,,нет
821,8071098.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СПАНОЛЮКС""","ООО ""СПАНОЛЮКС""","LIMITED LIABILITY COMPANY ""SPANOLUX""",7706762370,470301001.0,1117746755323.0,2011-09-26,РЫБАКОВ ПАВЕЛ ГЕННАДЬЕВИЧ,"ОБЛАСТЬ ЛЕНИНГРАДСКАЯ, РАЙОН ВСЕВОЛОЖСКИЙ, ДЕРЕВНЯ НОВОСАРАТОВКА, УЧАСТОК 1, КОРПУС 3, ПОМЕЩЕНИЕ 5-Н",,,+7 (831) 324 91 00; +7 (495) 625 34 76;,16.23.1,Производство деревянных строительных конструкций и столярных изделий,,,нет
906,5805415.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВАКУУМ ТЕРМ""","ООО ""ВАКУУМ ТЕРМ""","OOO ""VAKUUM TERM""",7730561918,773001001.0,5077746826405.0,2007-05-24,Лытмарь Станислав Валерьевич,"121151, г. Москва, ул. Дорогомиловская Б, д. 7/2 кв. 101",,,,16.10,Распиловка и строгание древесины,,,нет
928,515185.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ФОРМ-ЛЮКС""","ООО ""ФОРМ-ЛЮКС""","OOO ""FORM-LYUKS""",7716171634,771601001.0,1037739114082.0,1998-10-22,Балин Александр Сергеевич,"129336, г. Москва, ул. Малыгина, д. 8",,,+7 (499) 167 35 28;,16.23.1,Производство деревянных строительных конструкций и столярных изделий,,,нет
957,3689195.0,"ЗАКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ШЭНТАН""","ЗАО ""ШЭНТАН""",SHENTANG JOINT-STOCK COMPANY,7721156624,772101001.0,1027739596587.0,2002-11-21,СУНЬ ХУНМИН,"ГОРОД МОСКВА, УЛИЦА ЗЕЛЕНОДОЛЬСКАЯ, 19, 1",,,,16.29.13,"Производство деревянных статуэток и украшений из дерева, мозаики и инкрустированного дерева, шкатулок, футляров для ювелирных изделий или ножей",,,нет
1112,8935335.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АНДРУСС""","ООО ""АНДРУСС""","OOO ""ANDRUSS""",7715970715,771501001.0,1137746647279.0,2013-07-29,ЖИВАЕВ АЛЕКСАНДР ИГОРЕВИЧ,"ГОРОД МОСКВА, УЛИЦА ГОСТИНИЧНАЯ, ДОМ 10 В, СТР 2",,,,16.23,Производство прочих деревянных строительных конструкций и столярных изделий,,,нет
1298,6107946.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭКОПРОМИНДУСТРИЯ""","ООО ""ЭКОПРОМИНДУСТРИЯ""","OOO ""EKOPROMINDUSTRIYA""",7723623698,772301001.0,1077758842303.0,2007-08-08,МИХАЙЛОВ МИХАИЛ АНАТОЛЬЕВИЧ,"ГОРОД МОСКВА, УЛИЦА СОВХОЗНАЯ, 20",,,,16.24,Производство деревянной тары,,,нет
1572,599116.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОРСАЙТ""","ООО ""ОРСАЙТ""","OOO ""ORSAIT""",7702290511,770201001.0,1027739091005.0,2000-05-31,Федотов Анатолий Евгеньевич,"103045, г. Москва, пер. Сергиевский Б, д. 15 корп. 1 кв. 3",,,+7 (495) 933 83 60; +7 (495) 933 83 61;,16.10,Распиловка и строгание древесины,,,нет
1611,442681.0,"ЗАКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""КНИППИНГ-СВИГ""","ЗАО ""КНИППИНГ-СВИГ""","ZAO ""KNIPPING-SVIG""",7713132429,774301001.0,1027700252997.0,2002-09-26,СЕРГИЕНКО ВЛАДИМИР ИВАНОВНИЧ,"ГОРОД МОСКВА, ПРОЕЗД ИЛЬМЕНСКИЙ, 1, 16",,,+7 (495) 741 28 58; +7 (495) 487 66 14;,16.23.1,Производство деревянных строительных конструкций и столярных изделий,,,нет
1621,7969962.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АРТВИЖЕН""","ООО ""АРТВИЖЕН""","OOO ""ARTVIZHEN""",7721726666,772101001.0,1117746430526.0,2011-06-02,Мокшина Елена Ивановна,"119270, г. Москва, ул. Новокузьминская 1-Я, д. 6 корп. 2 пом.IIком.5",,,+7 (925) 507 76 56;,16.29.14,"Производство деревянных рам для картин, фотографий, зеркал или аналогичных предметов и прочих изделий из дерева",,,нет
1673,4212656.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КМС""","ООО ""КМС""","OOO ""KMS""",7735116452,773501001.0,1027735009290.0,2002-11-28,Кузенкин Михаил Анатольевич,"124575, г. Москва, г. Зеленоград, ул. Гоголя, д. 11 Б кв. 4",www.kmc-poddon.ru,kmc_2006@mail.ru,+7 (495) 9955740;,16.1,Распиловка и строгание древесины,,,нет
1705,9386541.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВИТРАН""","ООО ""ВИТРАН""","OOO ""VITRAN""",7719880371,771901001.0,1147746617127.0,2014-06-02,Кочетков Денис Сергеевич,"107023, г. Москва, пер. Барабанный, д. 4 стр. 6",,,,16.10,Распиловка и строгание древесины,,,нет
1746,6646941.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЛАВА""","ООО ""СЛАВА""","OOO ""SLAVA""",7720630714,772001001.0,5087746152863.0,2008-09-29,Чарчоглян Сергей Саркисович,"111558, г. Москва, проспект Зелёный, д. 79А",,,+7 (495) 309 22 77;,16.23.2,Производство сборных деревянных строений,,,нет
1930,9337235.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОИЗВОДСТВЕННО-КОММЕРЧЕСКОЕ ПРЕДПРИЯТИЕ ""ТЕХКОМ""","ООО ""ПКП ""ТЕХКОМ""",TEKHKOM PKP OOO,7729100430,,1147746173013.0,,Дементьев Андрей Викторович,"г. Москва, ул. Довженко, д. 12 корп. 3 кв. 25",,,,16.23.1,Производство деревянных строительных конструкций и столярных изделий,,,нет
1931,9339160.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАРТАС""","ООО ""КАРТАС""",KARTAS,7718043130,,1147746241851.0,,,"г. Москва, ул. Николая Химушина, д. 2/7",,,4992468011,16,"Обработка древесины и производство изделий из дерева и пробки, кроме мебели, производство изделий из соломки и материалов для плетения",,,нет
1962,8208355.0,"ЗАКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДРЕВМАСТЕР""","ЗАО ""ДРЕВМАСТЕР""","ZAO ""DREVMASTER""",7706768051,770601001.0,1127746009291.0,2012-01-12,Овечкин Юрий Иванович,"119180, г. Москва, ул. Полянка Б, д. 7/10 стр.3 пом.2 ком.17",,,+7 (915) 427 72 00;,16.23,Производство прочих деревянных строительных конструкций и столярных изделий,,,нет
2026,5950367.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛЕСОРЕСУРС""","ООО ""ЛЕСОРЕСУРС""","OOO ""LESORESURS""",7733592463,773301001.0,1077746217636.0,2007-01-26,Соколов Михаил Александрович,"125310, г. Москва, шоссе Волоколамское, д. 80А",,,+7 (495) 549 10 97;,16.10,Распиловка и строгание древесины,,,нет
2254,7790007.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СОВРЕМЕННЫЕ ЛАЗЕРНЫЕ ТЕХНОЛОГИИ""","ООО ""СЛТ""","OOO ""SLT""",7707743074,770701001.0,1117746100273.0,2011-02-15,КОРНЕЕВ ПАВЕЛ НИКОЛАЕВИЧ,"ГОРОД МОСКВА, ПЕРЕУЛОК УГЛОВОЙ, 2, ЭТ.10 ПОМ.22 КОМ.3",,,7748801,16.29.1,Производство прочих деревянных изделий,,,нет
2258,5776990.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДАК-СТРОЙ""","ООО ""ДАК-СТРОЙ""","OOO ""DAK-STROI""",7716577948,771601001.0,5077746797574.0,2007-05-17,Пахомов Игорь Юрьевич,"129345, г. Москва, ул. Осташковская, д. 23 кв. 24",,,+7 (495) 472 45 06;,16.23,Производство прочих деревянных строительных конструкций и столярных изделий,,,нет
2317,5116922.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АВЕРС СМ""","ООО ""АВЕРС СМ""","OOO ""AVERS SM""",7728565560,772801001.0,1057749150920.0,2005-11-21,Коваль Лиана Борисовна,"117574, г. Москва, проспект Новоясеневский, д. 4 стр.1",www.averc.ru,info@averc.ru,+7 (495) 631 69 53; +7 (901) 564 75 64;,16.10.1,"Производство пиломатериалов, кроме профилированных, толщиной более 6 мм; производство непропитанных железнодорожных и трамвайных шпал из древесины",,,нет
2576,5594017.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВИНДОРС""","ООО ""ВИНДОРС""",WINDOORS LIMITED LIABILITY COMPANY,7714664842,771401001.0,5067746888611.0,2006-10-03,Шелепов Алексей Николаевич,"125319, г. Москва, ул. Черняховского, д. 5 корп. 1",www.win-doors.ru,info@mtrllc.ru,+7 (495) 7403191;,16.1,Распиловка и строгание древесины,,,нет
2634,9649372.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЕНЕЖ""","ООО ""СЕНЕЖ""","OOO ""SENEZH""",7724947230,772401001.0,5147746440199.0,2014-12-02,Искандаров Зариф Бухадорович,"115230, г. Москва, проезд Хлебозаводский, д. 7 стр. 9 офис 901",,,,16.21,"Производство шпона, фанеры, деревянных плит и панелей",,,нет
3115,2216939.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РОССТЭК +""","ООО ""РОССТЭК +""","OOO ""ROSSTEK +""",7715508606,771501001.0,1047796057319.0,2004-02-03,Колесников Виталий Сергеевич,"127562, г. Москва, шоссе Алтуфьевское, д. 28",,,+7 (495) 928 78 39; +7 (495) 628 78 39;,16.10,Распиловка и строгание древесины,,,нет
3348,9696503.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДФ ХАУС""","ООО ""ДФ ХАУС""","OOO ""DF KHAUS""",7704301487,770401001.0,1157746002413.0,2015-01-08,Захваткин Леонид Владимирович,"119019, г. Москва, бульвар Никитский, д. 5 стр. 1 пом. II этаж 2 офис 4",,,,16.23,Производство прочих деревянных строительных конструкций и столярных изделий,,,нет
3625,5586975.0,"ЗАКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""НИАЛ""","ЗАО ""НИАЛ""","ZAO ""NIAL""",7733578109,773301001.0,5067746424268.0,2006-09-04,ШАНГИН ДАНИЛ ОЛЕГОВИЧ,"ГОРОД МОСКВА, ПРОЕЗД СТРОИТЕЛЬНЫЙ, 7А, 28, ОФИС 120",,,+7 (495) 363 56 68;,16.1,Распиловка и строгание древесины,,,нет
3685,1451356.0,"ЗАКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЛЕСОТЕХНИЧЕСКАЯ КОМПАНИЯ""","ЗАО ""ЛЕСТЕХКОМ""","ZAO ""LESTEKHKOM""",7731263657,773101001.0,1027731007160.0,2002-11-05,Леденев Владимир Владимирович,"121357, г. Москва, ул. Артамонова, д. 16 корп.3",,,+7 (495) 772 63 85;,16.10.1,"Производство пиломатериалов, кроме профилированных, толщиной более 6 мм; производство непропитанных железнодорожных и трамвайных шпал из древесины",,,нет
3738,547085.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЭЛДСТЕН""","ООО ""СЭЛДСТЕН""","OOO ""SELDSTEN""",7708121012,770501001.0,1027700150983.0,1999-10-07,Белкина Анна Владимировна,"115093, г. Москва, ул. Серпуховская Б, д. 30 стр. 2",,,+7 (495) 236 75 10; +7 (495) 203 86 06; +7 (495) 697 86 06;,16.10,Распиловка и строгание древесины,,,нет
3740,916763.0,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЛКАД""","ТОО ""АЛКАД""","LLC ""ALCAD""",7712042540,774301001.0,1027739578019.0,2002-11-20,ТАЛАНОВ НИКОЛАС,"ГОРОД МОСКВА, ПРОСПЕКТ ЛЕНИНГРАДСКИЙ, 80, 5",,,,16.10.1,"Производство пиломатериалов, кроме профилированных, толщиной более 6 мм; производство непропитанных железнодорожных и трамвайных шпал из древесины",,,нет
3898,8943471.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СМК""","ООО ""СМК""","OOO ""SMK""",7716751160,771601001.0,1137746690476.0,2013-08-05,Низаметдинов Александр Наилевич,"129344, г. Москва, ул. Лётчика Бабушкина, д. 1 корп. 3 пом. VIII ком. 7",,,,16.21,"Производство шпона, фанеры, деревянных плит и панелей",,,нет
4000,10814924.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЕРМАК""","ООО ""ЕРМАК""","OOO ""ERMAK""",7734392403,773401001.0,5167746198120.0,2016-10-11,Ермакова Наталья Николаевна,"123458, г. Москва, ул. Таллинская, д. 16 корп. 1 кв. 332",,,,16.21,"Производство шпона, фанеры, деревянных плит и панелей",1.0,1.0,нет
4028,10947917.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭТАЛОНЭКСПО""","ООО ""ЭТАЛОНЭКСПО""","OOO ""ETALONEKSPO""",7704386258,770401001.0,5167746505581.0,2016-12-29,Лепшей Сергей Александрович,"119146, г. Москва, проспект Комсомольский, д. 25 корп. 3 пом. IX ком. 2",,,+7 (916) 652 53 20;,16.10,Распиловка и строгание древесины,1.0,1.0,нет
4095,5541627.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ АРХИТЕКТУРНАЯ ГРУППА ""ДОНЖОН""","ООО АГ ""ДОНЖОН""","OOO AG ""DONZHON""",7727585267,770301001.0,5067746103013.0,2006-08-14,Бедов Александр Александрович,"121019, г. Москва, бульвар Никитский, д. 15/16 офис 4",ag-donjon.ru,ag.donjon@gmail.com,+7 (495) 6490480;,16.29.1,Производство прочих деревянных изделий,1.0,1.0,нет
4490,11545484.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АРТ ИСТОК""","ООО ""АРТ ИСТОК""","OOO ""ART ISTOK""",7716861772,771601001.0,1177746608181.0,,Ширинов Мушвик Назим Оглы,"г. Москва, шоссе Ярославское, д. 6 корп. 1 кв. 118",,,9250220099,16.29.14,"Производство деревянных рам для картин, фотографий, зеркал или аналогичных предметов и прочих изделий из дерева",1.0,1.0,нет
4838,5655286.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЮНИНФОРМ МЕБЕЛЬ""","ООО ""ЮНИНФОРМ МЕБЕЛЬ""","OOO ""YUNINFORM MEBEL""",7717572340,771701001.0,1067759111419.0,2006-11-02,СВЕЧНИКОВ АНДРЕЙ ДМИТРИЕВИЧ,"129226, г. Москва, ул. Сельскохозяйственная, д. 11 корп. 3",,YUNINFORM@MAIL.RU,+7 (985) 233 81 58 ;,16.23,Производство прочих деревянных строительных конструкций и столярных изделий,1.0,1.0,нет
4846,7472182.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АКРОДОМ""","ООО ""АКРОДОМ""","OOO ""AKRODOM""",7721693210,772101001.0,1107746381137.0,2010-05-07,РУБЦОВ АЛЕКСЕЙ ВЛАДИМИРОВИЧ,"ГОРОД МОСКВА, УЛИЦА ИНСТИТУТСКАЯ 3-Я, 17, 171",акродом.рф,,+7 (916) 360 27 27;,16.23,Производство прочих деревянных строительных конструкций и столярных изделий,1.0,1.0,нет
4936,9010355.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЕГМА ГРУПП""","ООО ""СЕГМА ГРУПП""","OOO ""SEGMA GRUPP""",7735596470,773501001.0,1137746872581.0,2013-09-23,Манукян Севак Гагикович,"124365, г. Москва, г. Зеленоград, проспект Панфиловский, д. 21 пом. 3, ком. 10",,,,16.23.1,Производство деревянных строительных конструкций и столярных изделий,1.0,1.0,нет
4978,8894648.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АРТ-ВУД""","ООО ""АРТ-ВУД""","OOO ""ART-VUD""",7723875085,772301001.0,1137746511594.0,2013-06-17,Клюев Алексей Михайлович,"109383, г. Москва, ул. Шоссейная, д. 90 стр.13",,,+7 (495) 354 01 01;,16.1,Распиловка и строгание древесины,1.0,1.0,нет
